Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
TM Dilshan (SL),2006-2016,80,79,12,1889,104,28.19,1567,120.54,1,13,10,223,33
MJ Guptill (NZ),2009-2016,61,59,7,1806,101,34.73,1374,131.44,1,10,2,169,76
Umar Akmal (PAK),2009-2016,82,77,14,1690,94,26.82,1375,122.9,0,8,8,122,55
DA Warner (AUS),2009-2016,63,63,3,1686,90,28.1,1208,139.56,0,12,5,162,74
V Kohli (INDIA),2010-2016,45,41,12,1657,90,57.13,1223,135.48,0,16,0,176,32
JP Duminy (SA),2007-2016,70,64,21,1654,96,38.46,1338,123.61,0,9,6,122,56
Mohammad Hafeez (PAK),2006-2016,77,75,4,1614,86,22.73,1403,115.03,0,9,5,175,39
Shoaib Malik (PAK),2006-2016,82,76,20,1548,75,27.64,1359,113.9,0,5,1,131,32
CH Gayle (WI),2006-2016,50,47,4,1519,117,35.32,1044,145.49,2,13,2,130,98
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
SR Watson (AUS),2006-2016,58,56,6,1462,124,29.24,1006,145.32,1,10,3,115,83
EJG Morgan (ENG),2009-2016,64,63,13,1460,85,29.2,1115,130.94,0,7,3,113,62
H Masakadza (ZIM),2006-2016,50,50,2,1413,93,29.43,1180,119.74,0,10,0,131,51
Shahid Afridi (PAK),2006-2016,98,90,12,1405,54,18.01,932,150.75,0,4,8,102,73
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20
AB de Villiers (SA),2006-2016,71,68,10,1368,79,23.58,1037,131.91,0,8,5,116,48
Mohammad Shahzad (AFG),2010-2016,48,48,2,1367,118,29.71,1002,136.42,1,9,3,143,55
RG Sharma (INDIA),2007-2016,62,55,12,1364,106,31.72,1054,129.41,1,11,3,120,51
AD Hales (ENG),2011-2016,45,45,5,1257,116,31.42,939,133.86,1,7,4,135,37
LRPL Taylor (NZ),2006-2016,73,65,13,1256,63,24.15,1046,120.07,0,5,4,83,48
SK Raina (INDIA),2006-2016,62,52,11,1203,101,29.34,905,132.92,1,3,2,110,41
MN Samuels (WI),2007-2016,51,49,8,1186,85,28.92,1016,116.73,0,9,0,106,48
KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
Tamim Iqbal (BDESH),2007-2016,52,52,5,1154,103,24.55,1007,114.59,1,4,3,125,27
DJ Bravo (WI),2006-2016,66,59,12,1142,66,24.29,981,116.41,0,4,4,67,49
Yuvraj Singh (INDIA),2007-2016,55,48,9,1134,77,29.07,828,136.95,0,8,1,75,71
MS Dhoni (INDIA),2006-2016,73,63,32,1112,48,35.87,909,122.33,0,0,1,75,34
Shakib Al Hasan (BDESH),2006-2016,54,54,8,1103,84,23.97,901,122.41,0,6,4,110,27
F du Plessis (SA),2012-2016,35,35,6,1093,119,37.68,824,132.64,1,7,0,101,32
Ahmed Shehzad (PAK),2009-2016,44,44,2,1049,111,24.97,917,114.39,1,5,2,116,24
HM Amla (SA),2009-2016,37,37,5,1008,97,31.5,781,129.06,0,5,1,113,21
AD Mathews (SL),2009-2016,66,52,17,987,81,28.2,820,120.36,0,4,0,65,32
CL White (AUS),2007-2014,47,44,14,984,85,32.8,740,132.97,0,5,3,71,44
GC Smith (SA),2005-2011,33,33,2,982,89,31.67,770,127.53,0,5,1,123,26
AJ Finch (AUS),2011-2016,28,28,3,974,156,38.96,649,150.07,1,6,0,101,42
KS Williamson (NZ),2011-2016,35,33,5,967,72,34.53,778,124.29,0,5,1,115,12
G Gambhir (INDIA),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
JC Buttler (ENG),2011-2016,50,44,11,928,73,28.12,662,140.18,0,5,2,67,43
Kamran Akmal (PAK),2006-2014,54,49,6,897,73,20.86,745,120.4,0,5,6,90,27
WTS Porterfield (IRE),2008-2016,49,47,6,897,72,21.87,808,111.01,0,3,4,106,17
LMP Simmons (WI),2007-2016,38,37,4,862,82,26.12,740,116.48,0,5,6,83,31
GJ Maxwell (AUS),2012-2016,36,32,4,822,145,29.35,491,167.41,1,3,1,76,44
E Chigumbura (ZIM),2006-2016,47,46,8,789,54,20.76,543,145.3,0,3,5,56,46
DA Miller (SA),2010-2016,46,39,13,789,53,30.34,581,135.8,0,1,0,55,31
Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87,37.52,715,110.2,0,3,2,45,26
LJ Wright (ENG),2007-2014,51,45,5,759,99,18.97,554,137,0,4,9,68,31
